trial,balanced,moderate,greedy
0,56.8511526627,3429.2804885059,195515.9145190006
1,39.8149842555,3005.7861282568,185893.1434214886
2,133.2036495664,4236.4597669884,193314.7412545629
3,16.6610398085,3267.0348421906,199092.8762082531
4,131.2427535755,3723.9711966699,192190.0345046457
5,119.4198810391,3419.5268658956,204349.3972868296
6,36.8778732447,2822.6868557891,199394.4296375641
7,18.8208202190,2947.4228605063,190049.1316394921
8,133.4117674815,4409.7146309284,206767.6558871509
9,27.7549853119,3422.8944728589,211677.5742411855
10,131.5497592819,2347.6617935489,205576.4654434765
11,8.2181985913,3046.4392647657,197904.2943570385
12,25.0092239127,3611.9168332223,197884.8506107865
13,224.4929681324,3703.7854685336,202894.0749365024
14,438.2892236392,5950.7918906538,216511.4075579229
15,28.9591067523,3733.3047145826,205803.0702577808
16,118.2173940750,3569.4680141727,212150.0435870361
17,85.6242118031,4725.3619821678,204661.0224393998
18,496.0646821867,4421.1945082175,210973.0986899137
19,20.9255013793,4145.4071382611,208360.6168969263
20,140.2429688124,2654.8709280591,222090.2951122396
21,324.6098549608,3760.9616171689,213694.6640336764
22,67.9420928935,2528.7370198317,204171.3348868554
23,122.4224828592,4534.3237221958,206606.8659836153
24,84.5089678271,2879.1425502157,214684.2005216951
25,162.9633009690,4347.1073986421,213151.5275381934
26,9.3241933602,4611.2317708237,216783.5488221340
27,93.0729286558,3838.5555408600,205081.3786600040
28,60.2971273723,3693.7812917186,202186.2331006798
29,10.6531836685,3757.1323106133,211981.1448648552
30,95.5844126716,4223.1803205907,197351.9587992040
31,16.7235731460,4573.6217928961,207077.6624632980
32,7.7790762993,3548.3569346119,190133.9039000608
33,104.0211754845,2714.0722293125,211965.3575191284
34,383.9327146819,5406.7107391634,205586.4525216149
35,108.4792311492,3498.2139664178,201903.8613704488
36,401.3773447783,7086.6559419733,215221.9750399632
37,159.8454809727,3961.0215405502,210058.5219291478
38,124.6622065615,4119.8516376527,207086.4133740592
39,27.6515480122,4161.6645656586,204269.9910299953
40,44.1458201340,3617.5714338876,197904.5986259113
41,32.8707813336,3824.6982576769,192264.2536468696
42,65.9450692676,3159.2393311761,197538.4330553230
43,21.6430749037,3886.9607731342,196508.8836831789
44,116.8133838809,3148.4820417669,209556.5802757812
45,67.5847514210,4180.0360704898,203972.4870363325
46,11.9866928577,3550.1576643076,199948.0499727239
47,135.3322594510,3135.0870491043,225300.8628408717
48,49.3614470707,3872.5956551173,198263.7133634956
49,215.8737066526,5055.2916827633,212915.7939633734
50,74.9208986334,5020.8492558597,206066.5010095588
51,67.8866936091,4271.7041586001,209594.2179384838
52,94.8685098149,3590.6385463549,189243.2762964251
53,50.9800063365,3615.5282054312,193851.4740025076
54,52.8933212413,3391.3570023679,195834.1805108638
55,135.9401954827,4244.5730187023,198927.7218352826
56,237.8337896391,2781.1213739952,197449.9364967601
57,10.3055462939,3264.7237447104,223699.1239609310
58,61.2404703269,3984.4434807234,201900.6204564930
59,43.5119660484,4261.3764593461,210676.1058158828
60,145.6694846748,3189.4533968456,203822.0250893409
61,169.5623378164,3804.5080018358,198564.7990672969
62,25.9968533667,3338.3678503929,195938.3208429193
63,2.0727364699,3476.5037294473,197499.7213266791
64,110.9187235173,3790.4540162469,210924.3440701723
65,161.6331106442,4444.7003664661,205956.7223343838
66,189.2306917443,4692.7057758357,236535.4562054314
67,36.7583470835,4624.8333222826,205354.7917356571
68,355.7494619251,2423.5501852314,208066.7369884918
69,82.7489087422,3136.2174107747,197786.7476999660
70,3.2362714910,3902.3418534533,210770.3234671090
71,51.1811162406,3559.9623062385,186134.4178988344
72,23.1194205666,4350.3341369051,207991.4438574486
73,34.3605853798,3243.8316488003,190268.9972618845
74,203.0226400505,2195.5444297733,205193.6785609234
75,264.8704436627,6050.7784975876,215991.6038388060
76,106.0753384215,4206.9751488392,192058.0401861624
77,56.9380919543,4052.3104796793,191801.7754058075
78,10.5702982240,4030.3823781940,204686.6350499541
79,82.4715331574,4005.3782396935,213903.7297946446
80,37.9734481216,4080.0247619075,207627.0524209628
81,48.8807545724,3729.8266147640,216647.6777450917
82,167.0367894639,2367.1752325865,203756.1897075091
83,77.6645932021,3237.4876236731,202651.8235993056
84,151.1001494277,2482.9930093930,206827.8605147922
85,190.9572091077,4349.0610741158,197635.3439768784
86,21.7682749979,4489.4864823814,206456.9395799447
87,94.2841178788,4722.0094151449,203824.7794941878
88,162.0199377888,3996.5478266478,211514.5171114863
89,0.3656872861,3131.5210980518,183955.1979341179
90,217.2431939611,4948.5129623524,211995.5449738088
91,96.7001110667,2824.7508051940,197547.7622137652
92,33.5101581836,4264.2392572508,214559.2545290776
93,116.3913862100,4191.6615644388,198857.3631472964
94,110.7018182592,3180.1739688968,201457.5804882161
95,114.5190174529,4356.6637562841,195492.2089631626
96,8.4661239111,3851.3856408634,208909.0792949769
97,182.6584012610,3254.6477645545,198680.1126868193
98,103.0571264874,3768.4941687248,188783.4471987572
99,41.9096758931,3620.0606867163,195394.2620300635
100,12.8650548151,3256.4017325365,199683.2838191446
101,48.4958354032,4777.3340416428,219506.2531058722
102,99.1796925561,4906.9241993027,195968.6264803617
103,170.8915404411,3439.0379173135,213526.1985806291
104,20.5156749786,3152.2808788194,205420.0231851934
105,47.1943739218,3048.4239316890,197690.5490664155
106,24.3603591194,3260.5876218228,196112.5931019049
107,24.8726386023,3903.8152711836,201273.7800339235
108,52.9861717959,3850.5372256356,203083.1334238792
109,80.5539725726,2618.1205937749,200307.4472916510
110,285.1901492717,5387.8156244067,197398.6078380836
111,14.4767779549,3277.2904174058,204261.0205713524
112,47.2176467760,2959.8729865319,211932.7137412425
113,102.7518325704,3238.0095236451,204095.0341246717
114,65.5303104292,3932.0882219995,205627.5191953463
115,8.5425032533,3698.2871116715,196163.7885691626
116,50.4552637777,4780.7238584534,204883.0000024340
117,192.0641849260,6983.5348637273,228273.1534284435
118,138.0105453803,3858.8328424987,205933.4880428894
119,11.5472403770,4630.8863339756,198146.4922831481
120,56.5140755967,3751.9253440555,198201.8435904862
121,40.3531145019,4042.1389780675,191838.6245339327
122,47.4380795186,3402.1689582444,197824.1713489523
123,51.2898046875,4533.2697590798,194644.5761349468
124,274.7823686643,3994.8787360148,206452.5160741412
125,49.6865216378,4785.3607983402,216257.2924123573
126,33.0358759174,4081.1246914516,206312.6455733493
127,108.2420978262,3833.4080664985,191958.6345270134
128,66.4383785233,3576.2142335826,193692.7018670161
129,177.6886840207,3518.4079400217,213213.6574895991
130,265.8218252667,2405.2370622913,212393.3884570542
131,193.7737155460,3857.4103037553,206132.7266307361
132,82.4982115453,3990.4823671333,228248.3223338680
133,201.7354701826,3676.5813634277,201061.8856563282
134,56.8680001803,4016.2410762452,205325.1734269997
135,23.1045925027,4591.8219390516,200696.9837109479
136,103.5288484649,2794.9217333651,189160.0671338212
137,76.5757406483,3242.7613774679,206911.9678324014
138,151.9951403261,4589.4324592515,206211.6512836207
139,69.8638541603,4257.0266616427,203764.5826043816
140,98.9312263195,3634.9325711927,217944.8854653254
141,70.9322952232,4261.6748932431,212963.7326777624
142,1.2870134653,3823.9499613785,200809.0022113031
143,54.5514517271,3384.2976127256,202828.1088551539
144,33.5845724038,4291.2612259024,200118.7315696617
145,352.6023101122,4631.9452868040,216063.2812470022
146,233.0665302212,3136.7711561209,195908.2120622375
147,103.8048299944,4314.4804895063,199126.5024869024
148,47.8145600707,3791.9871259291,204119.4579838322
149,1.5968889848,3539.9226043517,189755.8684860100
150,50.4314154501,2633.1834380447,202670.4864237713
151,40.0538190336,2831.1624602295,181929.3555983314
152,81.7183207788,2609.7187442485,185010.8361886539
153,46.0436562585,4194.2978690941,185589.9438135714
154,36.1496940908,3057.1782620927,194660.4173372099
155,1.6346100282,3240.8703157965,191588.2199748397
156,60.1303064026,4048.3421607404,200152.6179745368
157,20.0084329226,3716.7473292648,198997.7709477288
158,48.6865878649,4548.4966897954,217773.2001775364
159,106.6192601755,3332.8970833230,204374.5300931862
160,135.7086402633,4545.4154664099,199912.2662629578
161,44.3988021093,3989.6902706357,199457.8154584301
162,72.2749287540,4244.8580983657,196271.5549877828
163,154.9652544670,3047.9947090675,215084.5770480461
